presc_state,presc_id,presc_fullname,trx_cnt,total_day_supply,total_drug_cost,rnk
AE,2086924743,JILLIAN VOLNEK,376,13830,54321.41,1
AE,2096867263,SHEREE SAUNDERS,134,6555,2046.73,2
AE,-1996260772,RICKY VARONE,125,2430,2818.97,3
AE,-2107034966,SARAH VAUGHN,37,2440,905.01,4
AE,-2036273148,AMANDA JOHN,32,680,1664.7,5
AE,-1531438744,RUSH TWILLEY,32,103,96.95,5
AK,-2046512683,MAHIJA MUNGARA,1134,33969,901709.4699999999,1
AK,-1379786104,RACHAEL CARRICABURU,726,22423,19612.35,2
AK,-1551731341,RICHARD BLAKE,704,18364,53895.700000000004,3
AK,-1420361166,PAUL FORMAN,641,18647,18248.679999999997,4
AK,-1632291205,MEGAN ENGLER,618,19503,8457.49,5
AL,-1571906923,THOMAS LACKEY,4949,145296,186637.32,1
AL,2127073914,GEORGE EVANS,4687,162293,149948.05999999997,2
AL,-1804333085,JOHN WAGNER,4169,72611,396280.31000000006,3
AL,-1773030142,CECIL PARKER,3928,120102,215712.91000000003,4
AL,-1844686870,BRUCE RUSSELL,3482,93277,234856.68000000002,5
AP,-1834465056,ERIC SANTIAGO,185,7089,23145.39,1
AP,2086605152,ELLEN HOLLOWAY,50,258,176.15,2
AP,-1591992495,ADAM ASH,35,171,92.84,3
AR,-2075973383,EVGUENI ROUDACHEVSKI,4038,102954,126120.52,1
AR,-1945714489,JO ANNE GREGORY,3971,139297,172420.43999999997,2
AR,-1915443854,TIMOTHY SIMON,2816,91645,138250.6,3
AR,2066402611,DALE GOINS,2521,65435,92660.44,4
AR,-1804319364,D HENRY,2409,97569,21753.49,5
CO,-1379953168,PAUL FISHMAN,2473,40533,129115.99,1
CO,-1763954170,LORA SHIRAR,2309,67679,64009.219999999994,2
CO,2137248671,RENEE MICIELLI,1688,89127,52628.12,3
CO,2006923320,IVAN GELLER,1685,48850,104168.13000000002,4
CO,-1460672100,SCOT SICKBERT,1647,33536,80511.7,5
FL,-1703308822,FADI SABA,5791,166868,351981.81999999995,1
FL,-1915425209,JORGE SANCHEZ-MASIQUES,4750,225643,75034.87000000001,2
FL,2006848394,VANDELY PEREZ,4108,142517,55639.79,3
FL,-1349565125,YAOLEN BOLANOS,3956,110251,22134.53,4
FL,-1662884563,HUSAM EDDIN,3943,80549,70289.79000000001,5
GA,-2076849619,FLORENCE BARALATEI,6906,61556,65206.71,1
GA,2016923566,BRADLEY WARD,6904,95627,310387.16,2
GA,-2117371266,GUIDO RING,6499,94580,186047.89999999997,3
GA,2006901243,SCOTT CLAY,6215,178311,227894.45999999996,4
GA,-2086144364,MICHAEL SATCHELL,5924,107081,125047.92000000001,5
HI,-1622541264,ROBERT GRIES,2760,66842,109938.02,1
HI,-2026479836,REY ROMERO,1483,50550,147833.86000000002,2
HI,-2016327304,JOSE DELEON,1435,65467,92401.43,3
HI,-1864925498,BENEDICTO GALINDO,1349,47435,33539.81,4
HI,2076697004,GARY WILKINS,1296,105165,26000.89,5
IA,-1561823773,MARK DEARDEN,2759,60576,109116.06000000001,1
IA,-1783143172,PARAG SAMPAT,2471,125437,52798.97,2
IA,2026048752,BRIAN QUINN,2197,81506,20933.36,3
IA,-1309318152,LEE FAGRE,2023,85685,88792.84999999999,4
IA,-1369868688,JAMES MCQUEEN,1810,52729,18997.07,5
IN,-1541534201,DANIEL HURLEY,4342,82199,225655.30000000002,1
IN,-1925523770,JAMES PIKE,4145,107013,99322.02,2
IN,2076507871,THOMAS VAN DEN DRIESSCHE,3809,74037,125817.27999999996,3
IN,-1682045412,JOAN SHEMWELL,3367,55395,82388.75,4
IN,-2117354239,VUPPALA REDDY,2913,142788,114090.78,5
KS,-1309312532,R BRYANT,4692,122700,247166.99,1
KS,-1834628033,TAMARA MCCUE,3371,85993,107318.06000000001,2
KS,-1511329302,FREDRICK SHORT,2720,59759,81857.6,3
KS,-1935619955,MARK YACKLEY,2488,102456,51611.21,4
KS,-2056776251,DENIS KNIGHT,2171,67417,92779.09000000001,5
MA,-1592234370,BOGDAN NEDELESCU,8553,125027,171894.25,1
MA,-1753729357,AJAY ANAND,6132,157569,211559.82,2
MA,2096877032,IRVING RESTITUYO,5451,139983,373007.20000000007,3
MA,-2097172058,DAVID WEINTRAUB,4115,44525,40455.98,4
MA,-2107359315,NANCY SAID,2821,74796,148558.0,5
MP,-2107313998,VICENTE ALDAN,253,7720,3891.4999999999995,1
MP,2026079887,NATHAN TAN,135,4938,11330.23,2
MP,2066459554,AHMAD AL-ALOU,47,1830,554.64,3
MP,-1935482988,JAMES HOFSCHNEIDER,42,1380,453.03,4
MP,-1592257875,NORMA ADA,34,1020,349.04,5
MS,-1561696384,HAROLD WHEELER,4548,131056,99173.2,1
MS,-1844684179,MUKESH JAIN,3191,135806,94418.89,2
MS,-2016423573,L C TENNIN,3120,93860,107871.41000000002,3
MS,-1410358675,MARK NORTON,3063,104832,104141.48000000001,4
MS,2117026031,GARY NOWELL,3055,148052,59979.520000000004,5
NM,2006973523,G. MICHAEL LOPEZ,1790,73399,127758.65999999997,1
NM,-1632591976,FRANKLIN MILLER,1358,65341,45053.329999999994,2
NM,-1632503808,PEDRO ORTIZ,1309,74442,48217.16,3
NM,-2006052366,FRANCES ARAGON,1294,60992,130560.17000000001,4
NM,-1521377695,JILL RHYMES,1264,61577,26538.249999999996,5
NY,-1703216703,JAVID YADEGAR,5700,203402,559991.34,1
NY,-1561794394,STEPHEN EVANS,4882,105854,318188.37,2
NY,-2117327351,HILLARY HURTADO,3319,63978,68660.90000000001,3
NY,-1723359251,HANGJUN JANG,3285,102504,526753.39,4
NY,2117968511,JONATHAN CHANG,3081,124647,774839.6499999999,5
OH,-1430501361,ITRI EREN,10500,190732,468730.56999999995,1
OH,-2006348591,RAJESH AGARWAL,7255,209274,172555.16,2
OH,-1581005732,DAVID WHITT,4353,100700,62815.03999999999,3
OH,-1864871244,CHRISTOPHER SEARS,3992,77585,67979.71,4
OH,-1561767185,KIRK SMITH,3929,106649,130636.59,5
OK,-1541626158,DAN WATERS,5052,135107,291500.03,1
OK,-2127516597,ALEXANDER FRANK,4888,103905,245064.24,2
OK,-1905332265,BENNIE CHEEK,3563,101243,78807.55,3
OK,-1309268074,JACK BROWN,3008,73368,50841.36,4
OK,-1551680703,ADEL MALATI,2933,83212,109070.66,5
PA,-1389090536,BRETT SCHARF,4334,100918,94604.57999999999,1
PA,-1400175071,CHERIAN JOHN,3799,141859,86960.54,2
PA,-1349688783,KEN GIBSON,3773,94736,68234.53000000001,3
PA,-1884106251,STEVEN GABRIEL,3533,132588,67503.12,4
PA,-1652825678,MARK LOBITZ,3426,59225,100701.34999999999,5
PR,-1511202747,NELSA RODRIGUEZ CESPEDES,9527,290664,51604.8,1
PR,2046271524,VICOTR MARIANO MERCEDES,8743,262971,46400.92,2
PR,-1399976823,FRANCISCO FONTANET,6225,186785,199795.96,3
PR,-1662804836,MARIA MIRANDA,4749,168873,155378.65999999995,4
PR,-1440579159,RAFAEL OCASIO-SANTA,4625,119018,50502.09,5
SD,-2016452952,SYED SHAH,2663,88026,39149.06,1
SD,-1864822991,DOUG VAN MAREL,1664,66263,21280.899999999998,2
SD,-1531517886,CLARK LIKNESS,1640,80682,50314.69,3
SD,2086616101,DANIEL MEGARD,1413,80081,32752.850000000006,4
SD,-1945491383,SARA RUTER,1393,71281,28789.72,5
TN,-1410332687,BRUCE PENDLEY,3579,45561,46083.0,1
TN,-1490070289,ELBERT HINES,3449,47165,134330.84,2
TN,-1521436584,SAMUEL BADA,3363,100713,49725.15,3
TN,-2066908763,JOSEPH PETERS,3267,99439,131447.13,4
TN,-1945675738,DANA NASH,3264,67055,259206.39999999997,5
TX,-1996214043,LUIS ROBLES,6099,288492,117242.64000000001,1
TX,-1703288733,LAILA HIRJEE,5465,163498,172564.92000000004,2
TX,-2056756651,JANSEN TODD,5190,161212,221460.94999999995,3
TX,-1703271747,KHOREN HEKIMIAN,4835,109131,198376.74999999997,4
TX,2117990036,DEEPAK PATEL,4501,120582,154898.02999999997,5
UT,2076607348,CASEY STELTER,2407,68966,247754.77000000002,1
